mlong-t5-tglobal-large_1500_lr:0.0001_prec32.csv,mlong-t5-tglobal-large_512k_lr:0.00005.csv,mt5-large_512_lr:5e-05_prec32.csv,mlong-t5-tglobal-large_1500k_lr:0.00005_bf16.csv,t5_large_NCC_512k_lr:0.00005.csv,mlong-t5-tglobal-large_512k_lr:0.00005_bf16.csv,mlong-t5-tglobal-base_512k.csv
8,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
8,9,8,8,8,8,8
8,8,8,9,9,9,9
8,8,7,8,9,9,9
8,9,8,8,8,8,8
8,7.5,7,8,7,8,7.5
8,8,5,8,8,8,8
7.5,8,5,7,7,8,7
8,9,8,9,9,9,8
7,6,7,9,8,8,8
8,9,8,8,8,9,6
8,8,8,8,8,7,8
7,7,8,6.5,7,7,8
7,7,5,5,6,6,5
7,7,8,8,8,8,8
8,8,7,8,8,8,8
8,8,8,8,8,8,8
8,8,8,9,9,9,8
8,7,8,8,8,8,8
7,7,8,7,8,8,6
7,7,7,8,8,8,8
7,6,7,7,8,8,5
8,8,9,8,8,8,6
8,8,8,8,8,9,8
8,8,8,8,8,8,8
8,8,6,8,8,8,8
8,7.5,6.5,7,7,8,6
8,8,8,8,8,7,7
8,7,7,8,8,8,8
8,8,8,8,8,8,8
8,8,7,8,8,8,8.5
7,8,7,8,8,8,6.5
8,7,8,8,8,8,8
7,7,8,7,6,8,8
7,7,7,6.5,7,8,6
6.5,7,7.5,7,7,5,5
8,8,8,8,8,8,7
8,7,4,8,8,8,3
9,8,9,8,9,8,9
8,7,7,6,8,7,8
8,8,8,6,7,6,8
7,8,8,5,8,6,6.5
7,8,6,8,6,8,5
7.5,8,7,8,8,8,8
7,8,7,6,8,7,5
8,7,7,7,8,7,7
8,8,7,7,7,7,7
8,8,8,8,8,8,8
8,8,5,7.5,7,8,7
8,8,8,8,8,8,8
7,8,8,8,7,8,8
8,8,8,8,8,8,8
7,8,8,6,8,7,6.5
7,7,8,8,7,8,7
7,7,8,8,7,7,7
7,6,5,7,6,7,7
7,7.5,8,8,8,8,7
8,8,8,7,8,8,8
9,9,8,9,8,8,6
8,7.5,8,8,8,8,7.5
8,7.5,8,8,8,8,7
8,8,8,8,8,8,8
8,8,8,8,8,8,8
7.5,5,7,7.5,6.5,7.5,5
6.5,6,5,6,8,7,7
8,8,8,8,8,9,8
8,8,8,8,8,8,8
8,7,8,7,8,8,8
9,9,9,9,8,8,8
9,9,9,9,9,9,8
8,8,7,8,7,8,7.5
6,8,8,8,8,8,8
9,5,8,9,9,9,9
8,9,9,8,9,9,9
9,9,9,9,8,9,9
8,8,7,8,8,8,8
7,7.5,7,6,6,7,7
8,8,6,6,8,5,8
8,8,8,8,8,9,8
6,7,7,7,7,7,7
9,9,9,9,9,9,9
7,7,4,8,7.5,8,6.5
8,8,8,6,7,6,8
7,7,7,7,7,8,8
9,9,8,9,8,8,9
8,7,8,8,8,8,6
8,6,5,5,7,8,6
8,8,8,8,7,8,8
6,8,7,5,7,8,7
6.5,7,7,7,7,7.5,7.5
7.5,8,8,7,8,6,8
8,8,8,8,8,8,8
8,7,7,7,8,8,6.5
8,8,6,7,7,8,8
8,9,9,9,9,9,8
8,8,8,8,8,8,8
6,8,7,8,8,8,6
7,7,7,7,7,7,7
7,7,7,8,8,7,8
8,8,8,8,8,9,8
8,7,7,8,7,8,8
8,7,7.5,8,6,7.5,6
7,7,8,8,8,8,7
8,8,8,8,7,8,7
8,8,8,8,8,8,8
8,8,8,8,8,8,8
8,7.5,5,8,7,7,8
8,8,8,8,8,8,7
8,8,8,8,8,7.5,8
7,5,6,8,8,8,6
6,8,9,8,8,8,8
8,8,7,7,8,8,8
8,8,7,7,8,8,8
8,8,8,8,8,8,8
4,7,6,7,7,8,6
7,8,6.5,8,7,8,6
7.5,8,8,8,7.5,8,7
7,8,8,6,7,6,8
5,8,6,8,8,8,6
5,5,5,5,5,6.5,4
8,8,8,8,9,8,8
8,8,8,8,8,8,8
8,8,9,8,8,8,8
8,8,8,8,8,9,8
7.5,7.5,7.5,8,7.5,8,8
8,7.5,5,8,6.5,8,6.5
8,8,8,8,8,8,8
7,7,7,6,6,7,7.5
9,9,8,8,9,8,8
8,8,8,8,8,8,9
8,8,7,5,7,8,7
8,8,8,8,8,8,8
7.5,7,6.5,8,7.5,7.5,8
8,8,8,8,8,8,8
8,7,8,7,8,7,8
6,7,6,6,6,6,7
7,8,8,8,8,8,7
8,8,8,8,8,8,8
5,6,5,7,5,7,8
8,7.5,8,8,8,8,7
8,8,7,7,7,6,8
9,8,9,8,9,9,9
8,9,8,8,8,8,8
7,6,7,7,7,6,8
8,8,8,8,8,8,8
7,7,7,7,7,7,8
7,8,6,8,7,7,7
6,7,6,8,6,7,5
6,7,6,7,7,7,6
8,8,8,8,8,8,8
7,7,7,7,7,7,7
7,7,8,7,7,7,7
7,7,5,7,7,7,4
8,8,7,8,8,8,8
6.5,8,7.5,5,7,8,7
8,8,9,8,8,8,8
8,8,5,7.5,8,8,7
7,6,5,6,7,6,6
6,8,8,7,8,8,6
7,8,8,8,8,8,8
8,6,6,8,8,8,8
9,9,9,9,9,8,9
8,8,7,8,8,8,8
8,8,3,8,6,8,3
9,9,9,9,8,8,4
9,9,9,9,8,9,9
8,7,7,7,8,8,7
5,5,5,6.5,5,5,5
8,8,8,8,8,9,9
7,9,8,8,8,8,8
8,8,7,8,8,8,8
7,5,6,7,7.5,6.5,7
8,7.5,6.5,8,7,7,7
7,8,8,8,7,8,6
8,8,7,7,7.5,8,8
8,8,8,8,8,8,7
8,7,6,8,8,8,7
8,8,8,8,8,8,8
9,7,8,9,8,9,9
8,8,8,7,8,8,8
7,7,7,8,8,8,5
9,9,9,8,9,9,9
9,9,9,8,8,9,8
9,9,9,8,9,8,9
8,8,8,8,8,8,8
8,8,8,8,8,8,8
7,8,8,8,7,8,7
6,6,6,7,7,7,5
9,8,8,8,6,8,8
8,8,8,8,8,9,9
7,7.5,5,8,6,7,6.5
7,7,8,7,7,7.5,8
9,9,9,9,9,9,8
6,8,5,8,7,8,8
8,8,8,6,8,6,8
7,7,7,7,7,7,7.5
8,8,8,8,8,8,8
8,8,8,8,8,8,8
8,8,8,8,8,8,8
7,8,6.5,7,8,7,8
8,7.5,7,8.5,7,8,6
8,6.5,7,7,7,8,5
5,5,5,7,7,8,8
7,5,5,8,8,8,8
7,7,6,8,6,8,8
9,8,8,9,8,9,8
8,8,8,8,8,8,8
6,7,5,7,7,6,7
7,7,7,8,7.5,8,7
7,7,8,8,8,8,8
8,8,8,8,8,7,8
7.5,7.5,6,8,8,7.5,7.5
8,8,8,6,7.5,8,7.5
7,7,7,7,6.5,6,7
6,8,7,7,6,8,8
8,6,8,8,6,8,7
8,8,9,8,8,8,8
9,8,9,8,9,8,9
8,8,8,9,8,9,8
7.5,8,7.5,7.5,8,7,8
8,8,8,8,8,8,8
8,9,8,9,9,8,9
9,9,8,9,8,9,9
8,9,8,8,8,8,8
7,7,7,8,7,8,7
8,8,8,8,8,8,8
8,8,8,9,9,9,8
7,7,7.5,8,7.5,7,8
8,8,8,8,8,8,8
7,7,7,8,7,8,7
7,7,7,8,8,8,8
8,8,6,8,7,8,7
8,6,8,9,8,8,8
8,8,7,8,8,8,8
8,8,8,8,8,8,8
8,8,8,8,8,8,8
9,9,9,9,9,6,9
8,8,8,7,7,7,7
6,7,7,7,7,8,7
8,8,7,8,7,8,8
8,8,8,8,8,8,8
8,9,8,8,8,8,8
8,8,8,8,8,8,8
8,8,6,8,6,8,8
7,8,8,8,8,9,9
8,8,8,8,8,8,8
8,6,6.5,8,8,8,8
7,7,7.5,8,7,8,5
7.5,7,7,7,7.5,7,7
8,8,8,8,8,8,8
8,8,8,8,8,8,8
7,7,7.5,8,7.5,7,7
8,8,6,8,8,8,7
8,8,8,8,8,9,8
9,9,8,8,9,8,8
7,7,5,7,6,7,7
8,8,8,8,8,8,8
8,7,7,8,9,7,8
5,7,5,8,8,7,4
7.5,5,5,8,7,8,8
8,8,7,8,8,8,8
8,5,6.5,8,7.5,8,8
8,8,8,8,8,8,8
8,8,7,8,8,8,8
8,7.5,8,8,6,8,8
9,9,8,8,8,8,6
8,7,7,8,8,8,8
7,8,7,8,7,8,8
8,7,8,8,7,7,8
8,8,8,9,9,9,9
8,8,8,8,8,8,8
7,8,8,8,9,8,8
7,8,5,8,7,8,8
8,8,6,8,6,7,8
6.5,8,5,7,6,7,7
8,8,8,7,8,7,7
7,8,5,8,4,8,6
8,8,7,8,8,8,8
8,8,7,6,8,8,6
8,7,7,6,6,6,7
8,8,6,8,8,8,8
8,8,8,8,8,8,8
9,8,7,8,8,8,8
8,9,9,9,9,9,9
8,8,8,8,8,8,8
8,8,8,8,8,8,8
8,8,8,8,8,8,8
7.5,6.5,7.5,7.5,7.5,7.5,7.5
8,8,8,8,8,8,8
8,8,8,8,8,8,8
7,5,8,8,8,8,6
8,8,8,8,8,8,8
8,7,8,8,8,8,8
8,6,8,9,8,8,7
7.5,7,5,7,7.5,7.5,7.5
8,7,6.5,6.5,7,7.5,7
8,8,8,8,8,8,7
7,7,6,7,8,7,7
8,8,8,8,8,8,8
7,6,8,8,5,8,7
7,8,7,7,8,8,8
9,8,8,8,8,8,9
7.5,8,7.5,8,7.5,8,7.5
6,7,7,7,8,8,6
8,8,8,8,8,8,8
8,8,7,7,7,8,7
7.5,8,6,8,7.5,8,7.5
6.5,5,7,6.5,7.5,7,7
8,6,5,8,8,8,8
8,8,8,8,9,8,8
8,8,8,8,8,7,6
8,7,8,8,8,8,8
8,7,6,8,7,8,6
8,8,7.5,7.5,8,8,8
8,8,5,8,8,8,5
7,7.5,6.5,7.5,6.5,8,6.5
8,8,8,7,8,8,8
6,8,7,7,7,7,8
8,8,8,8,8,8,8
8,8,8,8,8,8,8
8,8,8,8,8,8,8
8,8,8,9,8,8,8
7,9,6,8,8,8,7
7,8,8,8,8,8,8
8,8,8,8,8,8,8
8,8,8,8,9,8,8
7,7,7,7,5,7,7
6,6,6,6.5,6,6,6
6,7,5,6.5,6,6,7
8,8,7,8,8,7,7
9,9,9,9,9,9,9
8,7,7,8,8,8,7
8,8,5,8,8,8,7
7.5,4,7,7.5,6,8,4
6.5,6.5,5,6.5,5,5,5
8,7,7,8,5,8,8
8,8,8,7,8,8,8
8,8,8,8,8,7,8
8,8,7.5,8,8,8,8
8,7,8,8,8,7,7
7,7,7,8,7,7,7
7,7,7,7,7,8,7.5
8,7,7,8,8,8,7
9,9,8,9,9,8,8
8,8,8,8,7,8,7
8,8,8,8,8,9,4
8,8,8,8,8,8,3
8,8,6,8,8,8,4
8,8,7,8,8,7,6
8,8,7,8,8,8,8
8,8,8,8,8,8,8
8,8,8,9,6,8,8
9,8,8,8,8,9,9
8,8,6,8,8,8,7
8,7,7,8,8,8,8
8,9,7,9,9,8,8
7,8,7,8,7,7,8
7.5,7,7,8,8,7,7
7,7.5,8,7,8,8,8
8,8,8,8,8,8,9
8,8,8,9,8,8,8
8,8,8,8,8,8,9
9,9,8,8,9,9,9
8,8,8,8,8,7,7
7,8,5,7,7,7,8
8,8,8,8,8,8,8
8,8,7,8,8,8,8
6,7,5,7,7,7,7
7,5,7,7,7,7,7
8,8,8,6,8,8,8
8,8,8,8,8,8,6
8,8,8,6,7,7,8
8,8,6,8,8,8,8
8,8,8,8,8,8,8
8,8,8,8,8,8,9
7.5,7,7.5,7.5,7.5,7.5,5.5
7,7,7,7,7,7,5
9,9,9,9,9,9,9
9,9,9,9,9,9,9
7.5,7,6,8,7,8,4
5,7,7,7,7,7.5,6.5
9,8,8,8,8,8,8
6.5,6,7,8,6.5,8,6
7,7,6,6,7,7,7
9,8,9,9,9,8,9
8,7,7,8,8,8,6
7.5,7,7,8,8,8,7
8,7.5,7.5,8,8,8,8
6,8,8,8,8,7,5
7.5,7,7,8,6,8,8
8,8,8,8,8,8,8
7,8,6,8,7,8,7
8,8,5,8,8,8,7
9,9,9,9,8,9,8
6.5,6,5,8,6,8,6
8,7,8,8,8,8,8
7.5,7.5,5,8,7.5,7,7.5
7.5,7,4,7,7,8,7
6,8,8,8,7,7,6
9,9,5,9,9,9,9
7,7,5,6.5,7,5.5,6
7,8,8,8,6,7,8
8,8,8,8,8,9,8
8,8,8,9,8,9,9
8,6,8,8,8,8,7
8,8,7,8,8,8,7
7,7,7,7,7,7,5
7,8,8,8,8,8,7.5
8,8,6,8,7.5,7,7
7,6,7,7,8,7,7
7,7.5,7.5,7,7,8,7
8,8,7,7.5,7.5,7.5,7
8,8,7,7,8,7,7
8,8,9,9,8,9,6
7,7,7,8,7,7,6.5
9,9,9,9,9,9,9
8,8,8,8,8,8,7
8,8,8,8,8,8,8
8,8,8,8,8,8,8
8,8,7,8,8,8,8
8,8,7,8,8,8,8
7,8,7,7,7,7,5
6.5,7,8,8,7.5,7,6
8,8,8,7,8,8,8
8,8,7,8,8,8,8
7,8,8,8,8,8,8
9,9,8,9,9,9,8
8,8,8,6,8,6,7
8,8,8,8,8,8,8
8,7,7,8,8,7,6
8,8,8,7,8,8,8
8,8,8,8,8,8,8
8,8,8,8,8,8,8
5,5,5,8,6,8,6
8,8,8,6,7.5,8,6.5
8,8,8,8,8,8,8
7,5,7,6.5,7,8,3
8,8,8,9,8,9,9
8,8,7,8,8,8,8
8,9,9,9,9,9,9
8,7,6.5,7,6,8,8
8,8,8,8,9,8,8
8,8,7,8,8,8,8
7,7,8,8,6,7,5
9,8,9,8,8,8,9
5,7,6.5,8,7,8,8
7,8,7,7,8,8,8
7,7,5,7,6.5,7,6.5
7,6,7,6,6,6,6
8,8,7,7.5,7.5,6.5,6.5
8,8,8,8,8,8,8
8,7,7,8,8,8,7
8,8,7,8,8,8,8
6,6,7,6,7,6,7
8,9,9,8,9,8,9
7,7,5,8,7,7,5
8,9,8,5,8,5,8
8,8,6,8,8,8,7
8,6,6,6,8,5,8
7,8,8,8,7,7,8
7.5,7.5,7,7.5,7,7,7.5
9,8.5,8,9,9,9,8
9,8,9,9,9,8,9
8,7,7,8,8,8,5
7,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,6,8,8,8,7
8,8,8,8,9,8,9
8,8,8,8,6,6,5
8,8,7,8,8,8,8
8,8,8,8,8,8,8
5,7,7.5,5,7,5,6.5
8,8,7,8,7,8,8
7,8,7,4,6,5,3
7,7,7,7,7,7,7
8,8,8,8,8,8,8
6,8,8,8,5,8,6.5
9,8,8,8,8,9,8
9,8,8,8,8,7,8
8,8,8,6,8,8,8
8,8,7,8,8,8,8
8,8,7,8,7,8,8
7,7,7.5,8,8,8,7
8,8,8,8,8,8,8
9,9,9,9,8,9,9
9,8,8,8,9,8,9
9,8,6,9,9,9,8
8,8,8,8,8,7,8
8,8,8,8,7,7,8
8,8,5,8,8,7,8
8,8,8,6,8,7,8
7,7,8,8,7,8,7
7,6,6,8,6.5,8,7.5
7.5,7.5,7.5,7,7,8,7
6,6,7,8,7,7,8
8,8,8,8,9,9,8
8,8,8,8,8,7,7
8,7,7,8,8,8,7
8,7.5,5,8,8,8,7.5
9,6,6,8,8,8,7
7.5,5.5,6,8,6.5,8,6.5
8,8,8,8,8,7,8
8,8,7,8,7,7,8
8,7.5,7,8,7,8,6
8,8,7,6,8,7,8
8,8,5,8,8,8,8
7,7.5,7,6,8,7,8
6,8,8,8,7,8,6
8,8,7,8,7,8,8
9,9,8,9,8,9,8
8,9,7,8,8,9,8
5,8,7,8,8,8,8
9,9,7,9,9,9,9
8,8,8,8,8,7,8
8,8,8,8,8,7,8
8,7,6,6,7,8,7
8,7,6,8,8,8,8
7,7,8,7,8,7,6
8,8,8,8,8,8,8
8,8,8,8,7,7,8
8,9,9,8,8,9,8
8,9,8,8,9,8,8
8,8,8,8,8,9,8
8,8,8,8,8,8,8
